nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Japon,125800000,377975,Asia
Francia,68042591,551695,Europa
Italia,58983000,301340,Europa
España,48345223,505990,Europa
Canada,40126900,9984670,America
Mexico,129875529,1964375,America
China,1411750000,9596961,Asia
India,1438069596,3287263,Asia
Australia,27000000,7692024,Oceania
Egipto,111000000,1002450,Africa
Sudafrica,62000000,1221037,Africa
Rusia,146150789,17098246,Europa
Corea del Sur,51740000,100210,Asia
